member_id,name,member_type,loan_period_days
PS0001,รติ,นักศึกษา,14
PS0002,กุ๊กกิ๊ก,นักศึกษา,14
PS0003,เนย,นักศึกษา,14
PS0004,มิวสิค,นักศึกษา,14
PS0005,ชอพอ,นักศึกษา,14
PS0006,ต้นกล้า,นักศึกษา,14
PS0007,แพรวา,นักศึกษา,14
PS0008,มาร์ค,นักศึกษา,14
PS0009,ข้าวหอม,นักศึกษา,14
PS0010,ไทเกอร์,นักศึกษา,14
PS0011,พอยท์,นักศึกษา,14
PS0012,น้ำฟ้า,นักศึกษา,14
PS0013,วิน,นักศึกษา,14
PS0014,มะนาว,นักศึกษา,14
PS0015,ออกัส,นักศึกษา,14
PS0016,บุ๊ค,นักศึกษา,14
PS0017,ภูเขา,นักศึกษา,14
PS0018,เจน,นักศึกษา,14
PS0019,แสนดี,นักศึกษา,14
PS0020,ลีโอ,นักศึกษา,14
PS0021,ฝุ่น,นักศึกษา,14
PS0022,จัสมิน,นักศึกษา,14
PS0023,สายชล,นักศึกษา,14
PS0024,อาร์ม,นักศึกษา,14
PS0025,ชมพู่,นักศึกษา,14
PS0026,คอปเตอร์,นักศึกษา,14
PS0027,เพชร,นักศึกษา,14
PS0028,มีน,นักศึกษา,14
PS0029,ส้มจี๊ด,นักศึกษา,14
PS0030,บอส,นักศึกษา,14
PS0031,น้ำขิง,นักศึกษา,14
PS0032,กาย,นักศึกษา,14
PS0033,ใยบัว,นักศึกษา,14
PS0034,โอโซน,นักศึกษา,14
PS0035,ปลายฟ้า,นักศึกษา,14
PS0036,แม็กซ์,นักศึกษา,14
PS0037,ต้นน้ำ,นักศึกษา,14
PS0038,แป้ง,นักศึกษา,14
PS0039,มิกกี้,นักศึกษา,14
PS0040,ทะเล,นักศึกษา,14
PS0041,ยูโร,นักศึกษา,14
PS0042,ฟรัง,นักศึกษา,14
PS0043,พาย,นักศึกษา,14
PS0044,ธันวา,นักศึกษา,14
PS0045,โซล,นักศึกษา,14
PS0046,มุก,นักศึกษา,14
PS0047,เจมส์,นักศึกษา,14
PS0048,ผิงผิง,นักศึกษา,14
PS0049,เควิน,นักศึกษา,14
PS0050,เมฆ,นักศึกษา,14
PS0051,มิ้นท์,นักศึกษา,14
PS0052,ออสติน,นักศึกษา,14
PS0053,ปั้นสิบ,นักศึกษา,14
PS0054,เบียร์,นักศึกษา,14
PS0055,ถ้วยฟู,นักศึกษา,14
PS0056,ดรีม,นักศึกษา,14
PS0057,ข้าวปั้น,นักศึกษา,14
